Open time,Open,High,Low,Close,Volume,Close time,Base asset volume,Number of trades,Taker buy volume,Taker buy base asset volume,Ignore
2021-06-28,34702.49000000,36600.00000000,32699.00000000,35286.51000000,464791.76359300,2021-07-04 23:59:59.999,16063893736.16357360,9503851,227734.57261800,7871807130.85994522,0
2021-07-05,35288.13000000,35293.78000000,32077.00000000,34258.99000000,359766.23540400,2021-07-11 23:59:59.999,12142509770.88803056,7648112,178798.75432300,6033413173.63688576,0
2021-07-12,34259.00000000,34678.43000000,31020.00000000,31778.56000000,306160.98707900,2021-07-18 23:59:59.999,9889122842.33197944,7067408,147741.05584800,4771519260.89886658,0
2021-07-19,31778.57000000,35398.00000000,29278.00000000,35381.02000000,383262.21715400,2021-07-25 23:59:59.999,12281627047.30479809,8161443,190582.26431200,6114235359.36328810,0
2021-07-26,35381.02000000,42599.00000000,35205.78000000,39845.44000000,568598.50960600,2021-08-01 23:59:59.999,22398899801.82214972,14294722,284420.13774100,11205247089.66657187,0
2021-08-02,39850.27000000,45310.00000000,37332.70000000,43794.37000000,463107.67071100,2021-08-08 23:59:59.999,18969963699.51856751,12015266,230451.59145400,9445373822.53284967,0
2021-08-09,43794.36000000,48144.00000000,42779.00000000,46973.82000000,372867.97981100,2021-08-15 23:59:59.999,17083554277.88681005,12802573,188383.89315800,8634469008.93574936,0
2021-08-16,46973.82000000,49757.04000000,43927.70000000,49239.22000000,357634.46215500,2021-08-22 23:59:59.999,16753728276.42880147,12498107,180333.29957300,8448610167.56694816,0
2021-08-23,49239.22000000,50500.00000000,46250.00000000,48767.83000000,298905.69704200,2021-08-29 23:59:59.999,14485841663.35656822,10234705,148185.19729400,7184000949.90969492,0
2021-08-30,48767.84000000,51900.00000000,46512.00000000,51756.88000000,327484.44363800,2021-09-05 23:59:59.999,16058724402.75739571,9623298,165440.61187200,8117693526.79703886,0
2021-09-06,51756.88000000,52920.00000000,42843.05000000,46025.24000000,399602.39982000,2021-09-12 23:59:59.999,18994715843.65673673,12174052,193434.48176100,9200501092.96435518,0
2021-09-13,46025.23000000,48843.20000000,43370.00000000,47241.75000000,289430.44387000,2021-09-19 23:59:59.999,13558597825.93569980,8186048,141201.01935000,6614734237.64313700,0
2021-09-20,47241.75000000,47347.25000000,39600.00000000,43160.90000000,437174.23273000,2021-09-26 23:59:59.999,18788601896.91996211,10306745,212146.86731300,9120024387.11685157,0
2021-09-27,43160.90000000,49228.08000000,40753.88000000,48200.01000000,290620.78115000,2021-10-03 23:59:59.999,12968253396.57883250,8011247,144469.51207000,6452909326.51762460,0
2021-10-04,48200.01000000,56561.31000000,46891.00000000,54659.00000000,424292.25859900,2021-10-10 23:59:59.999,22567545317.79379255,12811107,211856.68444500,11270697948.40903001,0
2021-10-11,54659.01000000,62933.00000000,53879.00000000,61528.33000000,362346.26317400,2021-10-17 23:59:59.999,21121567502.01108526,11568529,183431.75068300,10697891224.26255851,0
2021-10-18,61528.32000000,67000.00000000,59510.63000000,60852.22000000,336367.00881000,2021-10-24 23:59:59.999,21141785986.45504030,10979311,167403.56447000,10528144211.85324447,0
2021-10-25,60852.22000000,63710.63000000,57820.00000000,61299.80000000,314971.84980000,2021-10-31 23:59:59.999,19208389552.55153220,10574780,154915.87466000,9451414390.23870330,0
2021-11-01,61299.81000000,64270.00000000,59405.00000000,63273.59000000,253033.72432000,2021-11-07 23:59:59.999,15663897405.53356700,9556016,126345.60637000,7823642239.82696870,0
2021-11-08,63273.58000000,69000.00000000,62278.00000000,65519.10000000,294213.11270800,2021-11-14 23:59:59.999,19286358161.91070355,11207688,145809.02263900,9564135489.15281683,0
2021-11-15,65519.11000000,66401.82000000,55600.00000000,58622.02000000,340150.61676000,2021-11-21 23:59:59.999,20344773160.10561018,11100482,163526.93650000,9788051753.51965350,0
2021-11-22,58617.70000000,59444.00000000,53256.64000000,57274.88000000,315216.31943000,2021-11-28 23:59:59.999,17762591467.11146970,10734607,155061.63995000,8740286935.66459830,0
2021-11-29,57274.89000000,59176.99000000,42000.30000000,49396.33000000,390528.91248800,2021-12-05 23:59:59.999,20822450911.08779426,12286961,185849.53619000,9921717578.51195080,0
2021-12-06,49396.32000000,51936.33000000,46751.00000000,50053.90000000,272083.99753000,2021-12-12 23:59:59.999,13393900447.45717150,8239356,132585.60064000,6527679465.43766500,0
2021-12-13,50053.90000000,50189.97000000,45456.00000000,46681.23000000,271834.80183000,2021-12-19 23:59:59.999,12915658909.98844090,8055423,131770.01926000,6263559378.81846130,0
2021-12-20,46681.24000000,51810.00000000,45558.85000000,50775.49000000,209149.42595000,2021-12-26 23:59:59.999,10272926890.97976390,6960719,104145.18087000,5115572930.19297980,0
2021-12-27,50775.48000000,52088.00000000,45678.00000000,47286.18000000,217379.64220000,2022-01-02 23:59:59.999,10458190881.73458400,6863722,106579.78483000,5128555640.89194130,0
